OTU,Size,Taxonomy
Otu00171,1843,"Bacteria(100);""Verrucomicrobia""(88);unclassified(88);unclassified(88);unclassified(88);unclassified(88);"
Otu00172,3612,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Anaerovorax(100);
Otu00173,4617,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);Cytophagaceae(100);unclassified(100);"
Otu00174,2773,Bacteria(100);Firmicutes(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00175,2147,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Cloacibacterium(100);"
Otu00176,1002,"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Myxococcales(100);Polyangiaceae(100);unclassified(100);"
Otu00177,1632,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);unclassified(100);"
Otu00178,2552,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Aeromonadales(100);Aeromonadaceae(100);Aeromonas(100);"
Otu00179,1545,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00180,1970,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(80);""Sphingobacteriales""(80);unclassified(80);unclassified(80);"
Otu00181,3617,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacterium(100);"
Otu00182,1578,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00183,3439,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);unclassified(100);
Otu00184,3318,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Brevundimonas(100);"
Otu00185,2565,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(68);Giesbergeria(63);"
Otu00186,2290,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00187,1327,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Legionellales(100);Legionellaceae(100);Legionella(100);"
Otu00188,2386,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacterium(100);"
Otu00189,2403,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);unclassified(96);"
Otu00190,1903,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00191,1271,Bacteria(100);OD1(100);OD1_class_incertae_sedis(100);OD1_order_incertae_sedis(100);OD1_family_incertae_sedis(100);OD1_genus_incertae_sedis(100);
Otu00192,2051,"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(95);"
Otu00193,2232,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00194,338,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00195,1552,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00196,1817,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00197,1457,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);Chitinophagaceae(100);unclassified(100);"
Otu00198,2251,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Acetobacterium(100);
Otu00199,1694,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
